CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1213	2451	1	0.8485	-288.565
3646	8152	1	0.8727	-145.535
3712	6648	1	0.8588	76.008
3760	11083	1	0.8856	146.033
4546	7667	1	0.8569	0.000
2750	7243	1	0.8611	0.503
1098	2412	1	0.8898	-160.537
147	3266	1	0.8656	-300.075
1056	2412	1	0.9074	-225.562
776	3993	1	0.8628	-7.975
2643	8152	1	0.9509	12.004
147	2639	1	0.8696	222.036
1213	2002	1	0.8553	-144.534
2966	3646	1	0.8814	-225.054
1098	2673	1	0.9209	-65.518
2744	3753	1	0.933	-209.558
3426	4944	1	0.8956	-0.996
1643	10984	1	0.9364	126.006
909	1986	1	0.8675	144.539
7092	10795	1	0.8509	-1.030
1338	2412	1	0.8762	-160.039
6534	7877	1	0.8442	-295.539
3646	4795	1	0.9009	81.013
1986	3977	1	0.8539	-144.539
2996	8152	1	0.9195	-80.511
3426	5683	1	0.9193	-2.505
3753	8152	1	0.8477	64.023
4933	11316	1	0.8445	160.039
2966	4721	1	0.8955	-209.036
3355	3752	1	0.9228	-226.045
261	2002	1	0.8471	-143.523
5516	6643	1	0.8882	216.552
4293	7178	1	0.8474	306.072
1643	1884	1	0.8669	-99.551
2679	6534	1	0.8572	-73.977
10917	11083	1	0.8451	-145.042
2673	2744	1	0.8627	211.565
4180	11083	1	0.8863	-1.011
1354	7357	1	0.8803	-73.019
2742	4795	1	0.8649	-79.016
4180	4380	1	0.8911	70.509
1107	3993	1	0.8876	-2.002
4313	5516	1	0.8406	-225.049
704	3462	1	0.8487	78.015
261	1354	1	0.8589	145.042
4824	6643	1	0.8427	75.519
5388	5891	1	0.8814	-207.039
3712	6460	1	0.8794	-144.529
1075	2673	1	0.8633	-146.043
1354	4380	1	0.9044	-73.522
1075	8152	1	0.8876	-80.012
2744	3833	1	0.8929	81.013
1495	10619	1	0.8695	144.036
3712	5662	1	0.8869	-76.003
899	2085	1	0.8864	68.023
1047	1283	1	0.9283	-290.586
3977	4199	1	0.8566	-287.051
2085	5119	1	0.8621	-220.034
2744	2996	1	0.9466	-65.024
909	1021	1	0.853	-288.062
4051	6236	1	0.9683	-144.534
4546	6648	1	0.915	76.008
1075	2996	1	0.9189	0.498
1495	4266	1	0.8779	-68.023
5119	6460	1	0.8725	67.525
3352	10025	1	0.9227	151.010
704	1495	1	0.8412	222.046
1604	2996	1	0.8873	81.521
6534	11490	1	0.849	-75.495
261	1950	1	0.857	-292.095
1248	3426	1	0.8851	67.022
288	1047	1	0.8448	-225.054
1643	3541	1	0.8774	191.026
3752	5516	1	0.8663	-152.025
909	10737	1	0.8416	-292.104
255	1604	1	0.8529	-225.054
2762	7667	1	0.8627	220.034
438	1643	1	0.922	-126.006
7178	10525	1	0.8553	-76.027
1551	4801	1	0.9072	15.994
1338	2643	1	0.9563	-10.993
5019	5119	1	0.9198	0.000
899	4380	1	0.927	-73.522
2673	8152	1	0.9312	66.030
1213	6571	1	0.893	-2.012
373	3266	1	0.8693	-299.074
2551	4380	1	0.8968	70.509
288	1884	1	0.843	-225.557
909	6571	1	0.9655	-1.001
4313	7178	1	0.87	68.033
4608	7667	1	0.8518	-144.031
288	438	1	0.9397	0.000
678	1826	1	0.919	-16.013
5019	6534	1	0.8987	67.525
1098	6855	1	0.9307	-1.011
1626	8469	1	0.9213	130.044
2829	4206	1	0.8771	152.030
1946	11028	1	0.9526	-1.039
1047	4795	1	0.8497	162.037
1283	7512	1	0.8566	356.612
2412	4218	1	0.8926	81.028
2681	10917	1	0.8492	-449.097
1495	11722	1	0.8465	143.533
1626	3426	1	0.9372	2.007
3147	3426	1	0.8405	387.598
3541	5683	1	0.8592	-130.542
2679	6865	1	0.9225	-438.554
1107	2639	1	0.9415	222.036
1107	3266	1	0.8675	-300.075
288	2643	1	0.8447	-301.570
2639	3993	1	0.8905	-224.038
1507	7707	1	0.9188	1.025
2742	4933	1	0.8676	-160.030
2103	7605	1	0.975	-3.018
6236	7843	1	0.8721	63.520
2551	5823	1	0.8963	0.000
1338	4218	1	0.8626	-79.011
288	2966	1	0.8444	81.023
1075	2643	1	0.9107	-92.016
2996	11316	1	0.8507	225.064
6236	7357	1	0.8756	63.520
1338	6855	1	0.9079	-0.513
1927	2742	1	0.9108	144.012
7667	11722	1	0.8528	143.533
1075	2744	1	0.9537	65.523
5683	10984	1	0.932	65.523
2643	2837	1	0.8437	-133.047
3627	3790	1	0.8841	228.038
147	1906	1	0.853	-24.036
1626	3541	1	0.8861	130.044
899	4690	1	0.8625	143.528
1283	2744	1	0.8457	371.609
2002	4387	1	0.8865	71.012
2744	4795	1	0.9225	81.013
1626	11300	1	0.8579	-225.552
1537	3776	1	0.8916	0.000
1673	7667	1	0.9071	76.003
4933	10984	1	0.8485	144.031
1047	1643	1	0.8643	99.048
2762	4163	1	0.8432	76.003
4387	6364	1	0.8698	-216.552
3977	10737	1	0.8517	-292.104
1927	5620	1	0.8514	443.038
1338	3753	1	0.872	-63.013
3753	4795	1	0.9296	290.572
1047	4218	1	0.8775	-144.534
3122	7877	1	0.8594	0.498
3462	5119	1	0.9035	-68.023
3462	6534	1	0.9075	-0.498
1047	3753	1	0.8551	-128.535
1283	2996	1	0.8598	306.585
1047	2412	1	0.9154	-225.562
1213	2551	1	0.9483	0.000
2744	3426	1	0.8532	81.013
1047	2996	1	0.8957	15.999
1673	6460	1	0.9112	-68.526
4740	11722	1	0.9273	-0.498
1354	4051	1	0.8416	7.995
288	2996	1	0.8447	-209.055
1183	5823	1	0.8522	-1.006
1075	4933	1	0.8707	65.523
4377	4546	1	0.8962	-76.008
5119	5662	1	0.8729	136.051
255	5683	1	0.9209	0.000
4546	6460	1	0.865	-144.529
4031	4158	1	0.8493	-15.994
255	1075	1	0.8693	-144.031
2679	4608	1	0.8861	214.583
6460	7667	1	0.9069	144.529
2643	4218	1	0.8993	-68.018
2966	11316	1	0.9334	-65.015
899	4051	1	0.8434	7.995
2679	6492	1	0.8564	2.529
1056	2996	1	0.886	15.999
1248	2750	1	0.8678	0.000
3646	11300	1	0.8508	-146.546
